$6,171
$8,365
$8,564
$7,625
$9,529
$3,841
$8,582
$3,142
$9,748
$4,182
$1,432
$2,724
$2,432
$6,719
$5,862
$3,034
$6,627
$6,365
$3,606
$8,067
$4,515
$5,161
$3,024
$7,490
$8,316
$7,723
$5,339
$7,081
$1,859
$3,788
$7,203
$1,708
$7,351
$2,636
$4,372
$3,933
$6,679
$1,159
$8,084
$5,188
$1,224
$2,552
$8,388
$7,568
$9,004
$5,483
$1,481
$3,037
$9,658
$2,237
$1,519
$2,459
$3,854
$9,382
$6,062
$9,199
$8,642
$7,924
$1,151
$1,687
$1,142
$8,922
$3,102
$8,724
$9,656
$5,658
$1,578
$9,146
$7,753
$8,895
$9,951
$2,209
$8,148
$9,381
$4,649
$2,249
$5,022
$4,086
$8,517
$8,317
$5,234
$8,660
$2,876
$2,750
$2,068
$4,348
$3,776
$9,081
$7,280
$6,728
$6,666
$6,223
$4,078
$5,897
$3,172
$7,065
$3,802
$5,071
$6,684
$5,066
$3,053
$8,601
$8,432
$8,499
$2,780
$1,792
$1,425
$1,318
$3,089
$2,510
$6,747
$4,119
$3,947
$2,676
$2,852
$9,619
$3,725
$7,046
$8,818
$4,576
$9,712
$6,972
$5,312
$8,935
$4,645
$6,366
$6,027
$9,631
$4,543
$1,713
$6,387
$9,763
$3,618
$5,986
$9,368
$4,825
$3,151
$7,755
$3,179
$3,052
$3,353
$3,111
$7,944
$5,649
$6,478
$9,195
$7,034
$8,769
$5,693
$3,928
$2,509
$3,176
$5,722
$3,435
$8,436
$1,417
$5,053
$2,036
$1,155
$6,610
$6,793
$1,639
$4,583
$1,414
$8,941
$5,111
$4,989
$8,564
$4,024
$1,120
$9,337
$5,220
$8,456
$4,657
$6,944
$5,989
$3,313
$6,673
$9,282
$8,773
$6,620
$5,717
$2,661
$9,567
$6,353
$4,537
$7,064
$1,106
$2,743
$2,975
$1,842
$5,899
$4,901
$4,912
$8,366
$8,431
$4,815
$4,666
$8,120
$6,358
$5,310
$4,956
$5,379
$5,991
$3,632
$1,280
$5,488
$8,124
$9,067
$3,146
$6,092
$4,743
$3,987
$2,298
$7,786
$2,521
$7,728
$4,689
$3,999
$3,271
$7,639
$8,772
$4,153
$6,058
$2,439
$3,037
$7,403
$6,224
$1,389
$6,046
$2,532
$5,507
$5,181
$1,549
$1,571
$2,056
$7,574
$5,858
$5,659
$3,564
$8,465
$6,181
$6,613
$9,473
$9,391
$8,067
$7,991
$7,364
$5,646
$9,411
$8,514
$6,810
$4,494
$6,012
$1,505
$7,942
$2,629
$5,545
$2,686
$2,697
$1,250
$8,024
$1,492
$8,201
$9,747
$8,558
$9,978
$6,076
$7,529
$8,814
$2,813
$6,295
$7,350
$5,057
$7,341
$9,513
$2,952
$2,534
$2,333
$8,312
$2,747
$2,674
$4,543
$8,343
$1,214
$4,700
$4,848
$1,292
$6,834
$1,513
$5,806
$4,670
$4,540
$3,205
$5,283
$6,966
$7,344
$9,756
$6,809
$1,607
$2,095
$2,827
$4,790
$4,061
$7,059
$7,975
$2,078
$9,113
$8,705
$2,258
$4,910
$8,489
$5,208
$6,315
$5,344
$8,097
$1,875
$8,987
$3,661
$1,097
$6,754
$4,854
$5,635
$7,949
$2,632
$5,001
$8,365
$4,472
$9,649
$3,896
$6,961
$2,316
$7,236
$4,277
$6,043
$8,124
$9,750
$3,152
$3,039
$5,967
$3,623
$3,065
$6,775
$4,008
$5,844
$7,758
$7,841
$9,361
$3,243
$8,446
$7,241
$2,992
$9,745
$8,763
$8,471
$9,144
$8,925
$6,827
$1,524
$6,835
$2,449
$5,765
$5,891
$6,639
$7,701
$2,414
$1,612
$6,938
$6,171
$6,375
$5,519
$7,645
$8,293
$6,102
$8,423
$4,072
$7,032
$3,184
$7,099
$7,135
$3,784
$6,774
$5,453
$1,811
$8,971
$8,898
$2,785
$7,318
$6,448
$9,425
$1,637
$9,085
$1,479
$2,357
$4,767
$7,141
$8,451
$1,793
$3,096
$8,066
$4,650
$9,281
$7,897
$3,969
$8,294
$7,324
$6,190
$9,564
$9,253
$6,080
$8,126
$2,066
$1,902
$2,369
$6,751
$5,441
$6,297
$1,541
$7,899
$1,114
$6,435
$9,037
$5,728
$8,371
$4,391
$5,240
$2,344
$2,373
$3,365
$4,393
$8,603
$6,314
$5,589
$1,054
$2,638
$6,872
$2,905
$1,772
$6,733
$1,628
$1,650
$7,524
$5,515
$2,918
$2,779
$9,396
$8,818
$7,942
$1,480
$9,747
$7,710
$4,894
$2,944
$2,475
$4,324
$8,141
$9,695
$5,953
$2,711
$9,372
$9,318
$9,261
$5,061
$3,074
$1,869
$3,635
$7,728
$6,446
$4,046
$2,051
$9,306
$3,891
$4,413
$6,548
$1,520
$3,492
$2,848
$4,699
$8,075
$6,081
$3,394
$5,873
$4,148
$1,270
$6,634
$5,163
$7,451
$8,003
$2,263
$5,824
$9,634
$7,554
$1,952
$5,333
$6,619
$6,157
$4,114
$8,724
$2,306
$2,770
